"A1JV1604201","06C0315000",2016-04-24 00:00:00,730,2018-04-24 00:00:00,146020.76,0.08000,"RG","","TF20160470","",0,"","SCEG",,"305",0,"","",,
"A1JV1604344","06M2823000",2016-04-26 00:00:00,730,2018-04-26 00:00:00,112962.79,0.08000,"RG","","TF20160479","",0,"","SCEG",,"305",0,"","",,
"A1JV1604347","15M4305000",2016-04-28 00:00:00,730,2018-04-28 00:00:00,590000.00,0.08000,"RG","","TF20160482","",0,"","SCEG",,"305",0,"","",,
"A1JV1604348","15M4305000",2016-04-28 00:00:00,730,2018-04-28 00:00:00,590000.00,0.08000,"RG","","TF20160483","",0,"","SCEG",,"305",0,"","",,
"A1JV1605001","06M0914000",2016-05-01 00:00:00,730,2018-05-01 00:00:00,118000.00,0.08000,"RG","","TF20160501","",0,"","SCEG",,"305",0,"","",,
"A1JV1605002","03M2222000",2016-05-02 00:00:00,730,2018-05-02 00:00:00,826000.00,0.08000,"RG","","TF20160502","",0,"","SCEG",,"305",0,"","",,
"A1JV1605009","28M1893000",2016-05-05 00:00:00,730,2018-05-05 00:00:00,63720.00,0.08000,"RG","","TF20160509","",0,"","SCEG",,"305",0,"","",,
"A1JV1605016","26M1274001",2016-05-09 00:00:00,730,2018-05-09 00:00:00,70800.00,0.08000,"RG","","TD20160516","",0,"","SCEG",,"305",0,"","",,
"A1JV1605023","15M4547000",2016-05-12 00:00:00,730,2018-05-12 00:00:00,295000.00,0.08000,"RG","","TF20160523","",0,"","SCEG",,"305",0,"","",,
"A1JV1605024","15M4305000",2016-05-12 00:00:00,730,2018-05-12 00:00:00,590000.00,0.08000,"RG","","TF20160524","",0,"","SCEG",,"305",0,"","",,
"A1JV1604078","47D0135007",2016-04-25 00:00:00,730,2018-04-25 00:00:00,12000.00,0.08000,"RG","","TF20160466","",0,"","SCEG",,"305",0,"","",,
"A1JV1605034","06C0315000",2016-05-19 11:26:40,730,2018-05-19 00:00:00,84645.86,0.08000,"RG","","TF20160534","",0,"","SCEG",,"305",0,"","",,
